################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  1.16e+07 4158.84 | 4114.88    0.0   2884     0 |    1.43   1.41   0.02  -1.17
0  1.17e+07 4158.84 | 4111.09    0.0   2884     0 |    1.42   1.36  -0.01  -1.17
0  1.18e+07 4158.84 | 4115.97    0.0   2885     0 |    1.43   1.27   0.03  -1.17
0  1.19e+07 4158.84 | 4146.05    0.0   2885     0 |    1.43   1.52  -0.11  -1.16
0  1.19e+07 4158.84 | 4117.47    0.0   2885     0 |    1.43   1.20   0.00  -1.17
0  1.20e+07 4158.84 | 4118.00    0.0   2886     0 |    1.43   1.30   0.09  -1.17
0  1.21e+07 4158.84 | 4117.74    0.0   2887     0 |    1.43   1.41  -0.02  -1.17
0  1.22e+07 4175.33 |
成功率：100.0%, 提交量大于阈值的概率：0.04653%, 超供率：99.9%, 超供程度：82.8%, 超供平均值：5.5, 方差：116.1
0  1.22e+07 4175.33 | 4175.33    0.0   2887     0 |    1.45   1.28  -0.11  -1.17
0  1.22e+07 4179.96 |
成功率：100.0%, 提交量大于阈值的概率：0.04782%, 超供率：99.9%, 超供程度：82.6%, 超供平均值：5.5, 方差：115.4
0  1.22e+07 4179.96 | 4179.96    0.0   2887     0 |    1.44   1.24  -0.04  -1.16
0  1.23e+07 4179.96 | 4177.17    0.0   2887     0 |    1.45   1.19  -0.05  -1.16
0  1.24e+07 4179.96 | 4112.68    0.0   2887     0 |    1.44   1.46   0.04  -1.16
0  1.24e+07 4179.96 | 4110.96    0.0   2886     0 |    1.43   1.29   0.12  -1.17
0  1.25e+07 4179.96 | 4115.52    0.0   2887     0 |    1.43   1.27   0.05  -1.17
0  1.26e+07 4179.96 | 4112.82    0.0   2887     0 |    1.42   1.35   0.05  -1.17
0  1.27e+07 4179.96 | 4113.04    0.0   2887     0 |    1.44   1.29   0.17  -1.17
0  1.28e+07 4179.96 | 4161.81    0.0   2887     0 |    1.44   1.45   0.04  -1.17
0  1.28e+07 4179.96 | 4173.05    0.0   2887     0 |    1.46   1.10   0.04  -1.17
0  1.29e+07 4182.53 |
