################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  1.14e+07 3657.19 | 3599.96    0.0   2887     0 |    1.25   0.70   0.02  -1.15
0  1.15e+07 3657.19 | 3603.15    0.0   2883     0 |    1.25   0.58   0.07  -1.15
0  1.16e+07 3657.19 | 3585.49    0.0   2882     0 |    1.24   0.62  -0.03  -1.15
0  1.16e+07 3657.19 | 3616.71    0.0   2886     0 |    1.25   0.64  -0.04  -1.15
0  1.17e+07 3657.19 | 3593.43    0.0   2882     0 |    1.24   0.64   0.01  -1.16
0  1.18e+07 3657.19 | 3604.06    0.0   2882     0 |    1.25   0.65   0.03  -1.16
0  1.19e+07 3657.19 | 3574.93    0.0   2882     0 |    1.24   0.57   0.04  -1.16
0  1.20e+07 3657.19 | 3561.17    0.0   2882     0 |    1.23   0.65   0.06  -1.18
0  1.20e+07 3657.19 | 3580.38    0.0   2882     0 |    1.24   0.70   0.03  -1.18
0  1.21e+07 3657.19 | 3578.00    0.0   2882     0 |    1.24   0.63  -0.02  -1.17
0  1.22e+07 3657.19 | 3589.09    0.0   2882     0 |    1.24   0.59   0.05  -1.18
0  1.23e+07 3657.19 | 3586.02    0.0   2883     0 |    1.24   0.63   0.01  -1.17
0  1.24e+07 3657.19 | 3583.80    0.0   2882     0 |    1.24   0.59  -0.05  -1.16
0  1.24e+07 3657.19 | 3585.26    0.0   2883     0 |    1.24   0.70   0.01  -1.16
0  1.25e+07 3657.19 | 3591.51    0.0   2883     0 |    1.24   0.68  -0.04  -1.16
0  1.26e+07 3657.19 | 3562.54    0.0   2883     0 |    1.23   0.66  -0.10  -1.16
